tcp.analysis.ack_rtt,ip.dsfield.ecn,throughput
0.000219816,1,4032736.049
7.11e-05,0,174679.9584
1.98e-05,1,170693.6474
4.6e-05,1,2692639.605
5.5e-05,1,465453.6184
0.000102998,1,195040.2933
0.000307556,0,2584121.951
7.32e-05,1,240334.7747
7.07e-05,1,739962.0288
0.000134875,1,107084.2313
0.000495152,1,1730982.603
3.13e-05,0,481433.1548
0.000244406,1,2921033.143
0.000339481,1,6559513.023
0.000498174,0,3335229.687
5.88e-05,1,1027579.779
0.000199782,1,4421023.135
5.2e-05,0,812098.4642
2.68e-05,0,837591.7216
6.61e-05,1,708512.641
8.38e-05,1,147003.2406
4.53e-05,1,575092.4403
4.75e-05,1,133145.7341
0.000234961,0,2817547.725
1e-05,0,150816.7061
0.000120722,1,5640615.724
3.16e-05,1,850860.1092
4.48e-05,1,580191.9078
4.3e-05,1,1340115.564
1.09e-05,0,1111185.405
1.41e-05,0,70168.64206
0.000174362,1,3888923.768
0.000263789,1,6979321.856
0.000338283,1,8361807.335
0.000448701,1,5652798.479
1.77e-05,0,63063.2603
0.000213486,0,2694151.474
4.79e-05,1,1358902.231
0.000149468,1,6143769.239
4.66e-05,1,578652.5969
4.33e-05,1,1056619.175
1.21e-05,0,916256.7282
1.47e-05,0,120765.215
4.41e-05,1,179460.0724
4.33e-05,1,510682.087
4.3e-05,1,1269275.313
7.62e-05,1,287862.4831
3.07e-05,0,168911.0298
1.95e-05,0,351801.8288
6.46e-05,1,178347.2365
0.000202632,1,4520286.176
0.000295511,1,6693723.008
0.000466981,1,3640119.188
1.62e-05,0,2782151.397
4.45e-05,0,68765.4871
0.000255221,1,2954001.914
4.56e-05,1,2775446.125
5.63e-05,1,122055.9481
0.000172788,1,5341317.747
1.52e-05,0,435257.9623
2.66e-05,0,157119.0147
0.000217913,1,3255280.716
0.000326672,1,5739573.895
0.000390066,1,9802418.337
5.61e-05,1,1270507.619
1.7e-05,0,748173.1459
5.2e-05,1,159393.7695
0.000139104,1,7131459.662
0.000182419,0,12235317.75
2.75e-05,1,2124387.74
