Iteration,Mean Train Loss
0,2.4693753290176392
1,2.4662275242805483
2,2.459587417840958
3,2.4492561519145966
4,2.43556276679039
5,2.4182612001895905
6,2.397838053703308
7,2.3739272487163543
8,2.347171006202698
9,2.3170748889446258
10,2.2844322431087494
11,2.2486189115047455
12,2.210578063726425
13,2.1695601743459703
14,2.126661731600761
15,2.081019043326378
16,2.0338952744007113
17,1.9843317484855652
18,1.9337951809167861
19,1.8812452924251557
