tcp.analysis.ack_rtt,ip.dsfield.ecn,throughput
0.000149218,1,5881451.002
0.000247853,1,6306616.135
4.28e-05,1,158880.9383
1.1e-05,0,147866.229
0.000238541,0,2318945.039
2.43e-05,1,129804.3791
0.000140011,1,5385279.21
2.22e-05,1,325528.0716
0.000124795,0,5150215.144
0.000244023,1,5224043.305
0.000181395,0,194621.0134
4.2e-05,1,1139915.373
4.26e-05,1,1208889.467
3.97e-05,1,174424.9048
3.94e-05,1,572450.9396
1.53e-05,0,158945.8488
1.08e-05,0,243736.7942
0.000155287,1,4311772.152
1.94e-05,1,1610612.736
2.08e-05,1,120638.1976
0.000167077,1,4255684.059
0.000175374,0,934033.1135
5.05e-05,1,179681.841
2.48e-05,1,282976.0727
0.000136204,1,5604380.505
0.000221333,1,7331220.437
0.000186569,0,167391.7243
1.87e-05,1,223505.1833
0.000132278,1,5498415.328
0.000214627,1,7564293.919
2.01e-05,1,213356.6231
1.17e-05,0,109044.8822
1.48e-05,0,226695.9271
0.000166016,1,4121646.765
2.1e-05,1,670057.7819
2.12e-05,1,541312.4501
0.000132054,1,5616407.073
1.19e-05,0,760244.5973
9.86e-06,0,77099.0291
1.89e-05,1,381078.29
6.08e-05,1,200095.2367
0.000193175,1,4698825.307
3.05e-05,0,145133.5285
0.000230286,1,3119482.355
1.1e-05,0,2243761.41
6.22e-05,1,263436.9095
2.61e-05,1,265118.081
2.85e-05,1,168723.936
0.000147704,1,5213636.845
2.26e-05,0,160803.9872
0.00034472,0,1638012.213
2.61e-05,1,3696674.712
2.57e-05,1,210507.9784
2.25e-05,1,619319.8523
1.93e-05,0,216946.7586
0.000176759,1,3959524.502
1.51e-05,0,135052.5986
0.000165225,1,4147774.479
3.33e-05,1,136165.9485
0.000127128,1,6625938.471
0.000172192,1,13921519.66
7.28e-06,0,2383845.546
1.25e-05,0,283268.4206
5.74e-05,1,136215.5562
3.18e-05,1,651218.1378
7.71e-05,1,1702827.388
0.000587242,1,1221870.073
7.66e-06,0,2216809.321
2.18e-05,0,224808.9039
5.23e-05,1,350884.2601
2.56e-05,1,205823.0337
0.000104942,1,7836064.958
0.000143063,1,16357785.6
1.85e-05,0,110707.4841
5.37e-05,1,231368.9618
0.000151011,0,5414651.619
0.000184583,1,18562026.21
1.79e-05,1,252556.7592
1.72e-05,1,1649178.132
5.02e-06,0,1077136.436
5.93e-05,1,85052.83037
0.000172618,0,4682013.767
4.15e-05,1,1327877.065
7.34e-05,1,181136.805
0.000671052,1,1043975.148
4.3e-05,0,584325.2011
6.84e-05,1,95332.03526
0.000212612,0,3654443.089
0.000335614,1,5072181.581
2.12e-05,1,671432.9646
1.96e-05,1,349712.1454
2.26e-05,0,118744.9068
0.000319379,0,1780219.061
5.78e-05,1,1100145.311
4.28e-05,1,435336.9421
4.35e-05,1,208695.1356
0.000170349,1,4919634.767
4.99e-05,0,267980.7009
2.27e-05,1,136642.2521
0.000139156,1,5341317.747
0.000216044,1,8128092.224
4.62e-05,1,2904823.192
0.000231529,0,174487.2764
1.4e-05,0,111040.5391
0.000167969,1,4051463.926
0.000256617,1,7035606.71
2.44e-05,1,234899.0932
0.000142697,1,5276705.032
0.000224238,1,7652765.193
1.37e-05,0,1472468.426
5.29e-05,0,197943.5567
6.67e-05,1,129157.407
1.79e-05,1,3183997.197
4.49e-05,1,388719.0994
0.000154094,1,5714510.253
1.33e-05,0,88188.61548
1.33e-05,0,116920.5698
0.000202706,1,3296279.214
0.000305706,1,6044447.335
6.25e-05,1,2757898.521
5e-05,1,799647.3254
3.76e-05,0,251515.3336
0.000104811,0,138437.9891
6.69e-05,1,185082.0802
0.000221858,1,4014180.515
9.71e-06,1,3532045.474
4.44e-05,1,450085.2444
1.47e-05,0,115301.3231
0.000177953,1,3815226.962
0.000304911,0,4162767.88
2.26e-05,1,249332.7328
0.000135548,1,5509990.939
0.000217255,1,7652765.193
1.32e-05,0,1527305.181
6.48e-05,0,70735.67497
5.61e-05,1,1119916.858
4.32e-05,1,1276705.218
4.52e-05,1,187656.5352
0.000160569,1,5407532.43
1.43e-05,0,99309.08126
0.000277175,0,2009612.08
3.03e-05,1,1945907.581
2.22e-05,1,804069.3382
4.54e-05,1,2689872.247
6.03e-05,1,219696.6084
5.6e-05,1,122215.5357
0.000224742,0,3127955.525
4.46e-05,1,1719609.524
6.64e-05,1,131052.3107
0.000275469,1,2980917.649
1.14e-05,0,1687951.61
1.31e-05,0,199674.7374
5.26e-05,1,175218.9661
0.000186766,1,4648749.016
0.000282294,1,6526797.247
6.98e-05,1,125611.7151
0.000176462,0,756608.3061
4.4e-05,1,154949.1265
0.000167314,1,5052597.869
4.36e-05,1,532068.6514
4.28e-05,1,1291191.759
0.000176088,0,304578.8079
1.86e-05,0,313770.5458
4.73e-05,1,58571.01255
0.000157769,1,5640615.724
0.000250509,1,6728138.036
4.28e-05,1,1116572.396
0.000184166,0,124969.9516
5.64e-05,1,502254.0196
2.32e-05,1,168767.4552
0.000135485,1,5545012.068
2.25e-05,1,107843.1619
0.000195353,0,152783.2019
5.82e-05,1,192190.1671
0.000175325,1,5319605.073
0.00025271,1,8053063.68
2.03e-05,1,1732128.191
1.37e-05,0,1099599.063
0.000175734,0,120956.4975
2.08e-05,1,252434.963
1.98e-05,1,1143901.091
2.93e-05,1,156496.3942
0.000148904,1,5224043.305
0.00023321,0,6255911.051
6.61e-05,1,164286.3408
0.000179955,0,4633038.728
0.000264788,1,7351813.753
2.25e-05,1,103130.4948
0.000139995,0,4492074.061
0.000248019,1,5777584.318
1.22e-05,0,1108959.696
2.67e-05,1,158909.8783
0.000171383,1,4311772.152
2.22e-05,1,230695.9626
3.99e-05,1,146698.3743
1.28e-05,0,1041181.247
0.000158816,0,781988.8814
2.16e-05,1,645595.8796
2.39e-05,1,201311.1065
0.000141846,1,5287365.042
0.000218156,1,8153413.383
1.59e-05,0,172516.3599
2.61e-05,0,100549.0357
2.59e-05,1,649763.0824
2.09e-05,1,1220161.164
2.26e-05,1,668005.5375
5.97e-05,1,124850.7225
